Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
1004382,Ryan Contena,2004,Attack,,,,Ligue 2
89030,Maxime Chanot,1989,Centre-Back,"1,86 m",right,€300k,Ligue 2
989824,Ben Hamed Touré,2003,Centre-Forward,"1,85 m",right,€400k,Ligue 2
1004385,Owen Martinez-Jullien,2005,Central Midfield,,,€50k,Ligue 2
149518,Michaël Barreto,1991,Attacking Midfield,"1,75 m",right,€200k,Ligue 2
988213,Salomon Abergel,2004,Right-Back,"1,70 m",right,-,Ligue 2
172153,Mickaël Alphonse,1989,Right-Back,"1,82 m",right,-,Ligue 2
18934,Thomas Mangani,1987,Central Midfield,"1,83 m",left,€200k,Ligue 2
989819,Ivane Chegra,2004,Right Winger,"1,80 m",right,€150k,Ligue 2
1064288,Jérémy De Bessa,2006,Left-Back,,,,Ligue 2
353932,Julien Benhaim,1996,Left Midfield,"1,75 m",left,-,Ligue 2
1063540,Mamadu Silla,2006,Centre-Forward,,right,,Ligue 2
374040,Vincent Marchetti,1997,Central Midfield,"1,78 m",left,€1.50m,Ligue 2
267147,Cyrille Bayala,1996,Right Winger,"1,81 m",right,€600k,Ligue 2
193142,Mathieu Michel,1991,Goalkeeper,"1,88 m",right,€200k,Ligue 2
413245,Fernand Mayembo,1996,Centre-Back,"1,84 m",right,€500k,Ligue 2
449223,Thibault Campanini,1998,Right-Back,"1,79 m",right,€100k,Ligue 2
331977,François-Joseph Sollacaro,1994,Goalkeeper,"1,82 m",right,€400k,Ligue 2
303410,Christopher Ibayi,1995,Centre-Forward,"1,87 m",right,€600k,Ligue 2
263951,Hamza Sakhi,1996,Attacking Midfield,"1,76 m",right,€1.30m,Ligue 2
1004380,Anthony Fosse,2005,Attack,,,-,Ligue 2
284526,Valentin Jacob,1994,Attacking Midfield,"1,71 m",both,€400k,Ligue 2
68718,Yoann Touzghar,1986,Centre-Forward,"1,80 m",right,€150k,Ligue 2
569388,Clément Vidal,2000,Centre-Back,"1,81 m",right,€700k,Ligue 2
550572,Stephen Quemper,1993,Left-Back,"1,78 m",left,€350k,Ligue 2
862972,Josué Escartin,2003,Centre-Back,"1,93 m",right,€400k,Ligue 2
919236,Everson Jr,2003,Attacking Midfield,"1,78 m",right,€250k,Ligue 2
1064242,Wolo Leblanc Touré,2004,Defensive Midfield,"1,79 m",,-,Ligue 2
692440,Al Hassan Touré,2000,Centre-Forward,"1,85 m",right,€250k,Ligue 2
989817,Anthony Khelifa,2005,Centre-Back,,,€50k,Ligue 2
1004383,Ricardo Coutinho,2006,Left Winger,"1,78 m",,€100k,Ligue 2
627163,Mounaïm El Idrissy,1999,Centre-Forward,"1,81 m",right,€500k,Ligue 2
1004681,Tony Strata,2004,Right-Back,"1,77 m",right,€350k,Ligue 2
855050,Ghjuvanni Quilichini,2002,Goalkeeper,"1,82 m",right,€100k,Ligue 2
674241,Tim Jabol-Folcarelli,1999,Central Midfield,"1,87 m",right,€1.80m,Ligue 2
1053266,Pablo Soules,2005,Central Midfield,"1,72 m",right,,Ligue 2
1053240,Moussa Soumano,2005,Centre-Forward,"1,85 m",right,€600k,Ligue 2
989826,Mehdi Puch-Herrantz,2004,Defensive Midfield,"1,75 m",right,€200k,Ligue 2
987302,Sacha Contena,2005,Goalkeeper,,,-,Ligue 2
276255,Yacine Bammou,1991,Centre-Forward,"1,89 m",right,€300k,Ligue 2
1088199,Arsène Kouassi,2004,Left-Back,"1,78 m",left,€150k,Ligue 2
57482,Mohamed Youssouf,1988,Right-Back,"1,69 m",right,€150k,Ligue 2
119104,Riad Nouri,1985,Right Winger,"1,78 m",right,-,Ligue 2
44421,Cédric Avinel,1986,Centre-Back,"1,87 m",right,-,Ligue 2
804381,Hamjatou Soukouna,1998,Centre-Back,"1,88 m",left,€600k,Ligue 2
891379,Nordine Kandil,2001,Left Winger,"1,67 m",left,€1.00m,Ligue 2
796892,Samuel Ntamack,2001,Centre-Forward,"1,78 m",right,€400k,Ligue 2
698222,Moïse Mahop,2000,Left-Back,"1,82 m",left,€400k,Ligue 2
88971,Jonathan Kodjia,1989,Centre-Forward,"1,89 m",right,€200k,Ligue 2
814976,Martin Adeline,2003,Central Midfield,"1,80 m",right,€900k,Ligue 2
540643,Tidiane Malbec,2001,Goalkeeper,"1,87 m",right,€50k,Ligue 2
212937,Alexy Bosetti,1993,Centre-Forward,"1,72 m",right,-,Ligue 2
345225,Steve Shamal,1996,Left Winger,"1,82 m",right,€200k,Ligue 2
803839,Goteh Ntignee,2002,Left Winger,"1,72 m",both,€50k,Ligue 2
1009596,Junior Diaz,2003,Centre-Back,"1,93 m",right,€2.00m,Ligue 2
374039,François Lajugie,1996,Right-Back,"1,90 m",right,€600k,Ligue 2
651360,Brian Beyer,1996,Centre-Forward,"1,84 m",right,€225k,Ligue 2
805886,Gaby Jean,2000,Centre-Back,"1,91 m",left,€1.00m,Ligue 2
289437,Kévin Farade,1995,Centre-Forward,"1,88 m",right,-,Ligue 2
775330,Antoine Larose,1993,Right Winger,"1,82 m",left,€600k,Ligue 2
412091,Kapit Djoco,1995,Centre-Forward,"1,86 m",right,€600k,Ligue 2
290588,Romain Spano,1994,Centre-Forward,"1,82 m",right,-,Ligue 2
629637,Kévin Mouanga,2000,Centre-Back,"1,91 m",right,€900k,Ligue 2
821136,Yacouba Barry,2002,Defensive Midfield,"1,88 m",right,€300k,Ligue 2
126699,Vincent Pajot,1990,Defensive Midfield,"1,80 m",right,€250k,Ligue 2
813171,Zakaria Bengueddoudj,2000,Centre-Forward,"1,83 m",right,-,Ligue 2
780944,Jonathan Gonçalves,1989,Centre-Back,"1,82 m",right,-,Ligue 2
827950,Ousmane Camara,2001,Centre-Forward,"1,76 m",left,€500k,Ligue 2
369599,Warren Caddy,1997,Centre-Forward,"1,83 m",right,€400k,Ligue 2
593315,Thomas Callens,1998,Goalkeeper,"1,82 m",left,€200k,Ligue 2
73120,Ahmed Kashi,1988,Defensive Midfield,"1,77 m",right,€200k,Ligue 2
579205,Clément Billemaz,1998,Left Winger,"1,75 m",left,€500k,Ligue 2
222636,Florian Escales,1996,Goalkeeper,"1,84 m",left,€600k,Ligue 2
415863,Kévin Testud,1992,Right Winger,"1,80 m",right,€250k,Ligue 2
289435,Yohan Demoncy,1996,Central Midfield,"1,81 m",right,€600k,Ligue 2
1063470,Thibault Delphis,2002,Centre-Back,"1,83 m",right,€400k,Ligue 2
709482,Thierno Baldé,2002,Right-Back,"1,82 m",right,€1.80m,Ligue 2
673514,Abdoulaye Ndiaye,2002,Centre-Back,"1,95 m",left,€3.00m,Ligue 2
1066904,Jaurès Assoumou,2002,Centre-Forward,"1,82 m",right,€400k,Ligue 2
982851,Wilson Nzenapou,2004,Attacking Midfield,,right,,Ligue 2
659517,Noa Cervantes,2003,Right Winger,"1,78 m",left,€250k,Ligue 2
234802,Renaud Ripart,1993,Right Winger,"1,81 m",right,€600k,Ligue 2
982863,Kyliane Dong,2004,Right Winger,"1,78 m",right,€800k,Ligue 2
1146422,Ibrahim Traoré,2006,Centre-Forward,,right,€50k,Ligue 2
429790,Luka Ilic,1999,Attacking Midfield,"1,85 m",left,€1.80m,Ligue 2
900938,Junior Olaitan,2002,Attacking Midfield,"1,74 m",right,€350k,Ligue 2
1010426,Ibrahim Bamba,2002,Right-Back,,,,Ligue 2
986299,Yvann Titi,2006,Right-Back,"1,88 m",right,€300k,Ligue 2
780147,Rafiki Saïd,2000,Left Winger,"1,80 m",both,€1.20m,Ligue 2
111041,Zacharie Boucher,1992,Goalkeeper,"1,81 m",right,€200k,Ligue 2
118278,Xavier Chavalerin,1991,Central Midfield,"1,79 m",left,€600k,Ligue 2
375287,Emmanuel Ntim,1996,Centre-Back,"1,79 m",right,€400k,Ligue 2
373939,Nicolas Lemaître,1997,Goalkeeper,"1,89 m",left,€500k,Ligue 2
345748,Andreas Bruus,1999,Right-Back,"1,84 m",right,€900k,Ligue 2
576033,Doğan Alemdar,2002,Goalkeeper,"1,92 m",right,€2.00m,Ligue 2
277635,Rominigue Kouamé,1996,Central Midfield,"1,77 m",left,€2.00m,Ligue 2
917104,Derek Mazou-Sacko,2004,Central Midfield,"1,86 m",right,€400k,Ligue 2
933147,Mouhamed Diop,2000,Attacking Midfield,"1,82 m",right,€600k,Ligue 2
1004342,Noah Medalli,2005,Attacking Midfield,,right,,Ligue 2
238584,Mehdi Tahrat,1990,Centre-Back,"1,93 m",right,€200k,Ligue 2
963168,Stevo Chillemi,2004,Centre-Forward,"1,90 m",right,,Ligue 2
804661,Simon Elisor,1999,Centre-Forward,"1,85 m",left,€800k,Ligue 2
917101,Rudy Kohon,2004,Centre-Back,"1,87 m",right,€250k,Ligue 2
991649,Eric N'Jo,2004,Centre-Back,"1,95 m",right,-,Ligue 2
540642,Corentin Michel,2000,Goalkeeper,"1,87 m",right,€25k,Ligue 2
817180,Mamady Bangré,2001,Right Winger,"1,71 m",left,€700k,Ligue 2
122116,Nicolas de Préville,1991,Centre-Forward,"1,82 m",right,€200k,Ligue 2
1126376,Aly Sidibé,2005,Right Winger,"1,76 m",right,,Ligue 2
770895,Ismaël Boura,2000,Left-Back,"1,73 m",left,€900k,Ligue 2
857154,Alexis Lefebvre,2003,Right Winger,"1,66 m",right,€200k,Ligue 2
337798,Abdu Conté,1998,Left-Back,"1,83 m",left,€800k,Ligue 2
167472,Youssouf M'Changama,1990,Central Midfield,"1,75 m",right,€250k,Ligue 2
1091219,Abdoulaye Kanté,2005,Defensive Midfield,"1,80 m",right,€1.50m,Ligue 2
929612,Danel Dongmo,2001,Central Midfield,"1,82 m",left,€150k,Ligue 2
982864,Mathis Hamdi,2003,Left-Back,"1,80 m",left,€150k,Ligue 2
917120,Tanguy Zoukrou,2003,Centre-Back,"1,89 m",right,€1.50m,Ligue 2
371003,Ante Palaversa,2000,Central Midfield,"1,87 m",right,€600k,Ligue 2
212804,Florian Tardieu,1992,Central Midfield,"1,81 m",right,€700k,Ligue 2
1149925,Facinet Conte,2005,Centre-Forward,"1,75 m",right,€800k,Ligue 2
536521,Romaric Yapi,2000,Right-Back,"1,80 m",right,€300k,Ligue 2
913645,Matéo Loubatières,2003,Central Midfield,"1,75 m",left,€100k,Ligue 2
745202,Yllan Okou,2002,Centre-Back,"1,89 m",left,€900k,Ligue 2
973852,Jocelyn Janneh,2002,Defensive Midfield,"1,84 m",right,€800k,Ligue 2
652128,Tom Ducrocq,1999,Defensive Midfield,"1,76 m",right,€1.20m,Ligue 2
744941,Sekou Lega,2003,Centre-Forward,"1,92 m",right,€100k,Ligue 2
