Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
316934,Nikola Moro,1998,Defensive Midfield,"1,84 m",right,€5.00m,Serie A
818882,Riccardo Stivanello,2004,Centre-Back,"1,88 m",right,€200k,Serie A
345590,Jens Odgaard,1999,Centre-Forward,"1,88 m",left,€7.00m,Serie A
365108,Dan Ndoye,2000,Right Winger,"1,84 m",right,€25.00m,Serie A
136514,Charalampos Lykogiannis,1993,Left-Back,"1,91 m",left,€1.00m,Serie A
882995,Tito Gasperini,2006,Goalkeeper,,,,Serie A
439292,Sydney van Hooijdonk,2000,Centre-Forward,"1,90 m",right,€1.70m,Serie A
428563,Lewis Ferguson,1999,Attacking Midfield,"1,81 m",right,€22.00m,Serie A
633668,Giovanni Fabbian,2003,Attacking Midfield,"1,86 m",right,€13.00m,Serie A
699442,Kacper Urbanski,2004,Central Midfield,"1,83 m",right,€7.00m,Serie A
564529,Victor Kristiansen,2002,Left-Back,"1,81 m",left,€16.00m,Serie A
223974,Stefan Posch,1997,Right-Back,"1,90 m",right,€10.00m,Serie A
381950,Alexis Saelemaekers,1999,Right Winger,"1,80 m",right,€12.00m,Serie A
818880,Tommaso Corazza,2004,Left-Back,"1,74 m",right,€1.00m,Serie A
41384,Marko Arnautovic,1989,Centre-Forward,"1,90 m",both,€3.50m,Serie A
367992,Jesper Karlsson,1998,Left Winger,"1,79 m",right,€6.00m,Serie A
126673,Adama Soumaoro,1992,Centre-Back,"1,87 m",right,€1.50m,Serie A
33571,Lorenzo De Silvestri,1988,Right-Back,"1,87 m",right,€400k,Serie A
390304,Federico Ravaglia,1999,Goalkeeper,"1,96 m",right,€1.00m,Serie A
531065,Oussama El Azzouzi,2001,Defensive Midfield,"1,89 m",right,€2.00m,Serie A
148252,Remo Freuler,1992,Central Midfield,"1,80 m",right,€6.50m,Serie A
413565,Jhon Lucumí,1998,Centre-Back,"1,87 m",left,€18.00m,Serie A
502821,Riccardo Calafiori,2002,Left-Back,"1,88 m",left,€45.00m,Serie A
929871,Matteo Plaia,2006,Centre-Back,"1,94 m",right,€75k,Serie A
205006,Rick Karsdorp,1995,Right-Back,"1,84 m",right,€5.00m,Serie A
550108,Nicola Zalewski,2002,Left Midfield,"1,75 m",right,€10.00m,Serie A
659415,Riccardo Pagano,2004,Central Midfield,"1,75 m",right,€2.50m,Serie A
721227,Luigi Cherubini,2004,Left Winger,"1,75 m",right,€600k,Serie A
331726,Tammy Abraham,1997,Centre-Forward,"1,94 m",right,€20.00m,Serie A
803005,Mattia Mannini,2006,Right-Back,"1,73 m",right,,Serie A
991751,Lovro Golic,2006,Centre-Back,"1,93 m",right,,Serie A
936536,João Costa,2005,Right Winger,"1,78 m",left,€1.00m,Serie A
103427,Chris Smalling,1989,Centre-Back,"1,94 m",right,€2.00m,Serie A
45026,Rui Patrício,1988,Goalkeeper,"1,90 m",left,€1.00m,Serie A
246291,Diego Llorente,1993,Centre-Back,"1,86 m",right,€6.00m,Serie A
338670,Mile Svilar,1999,Goalkeeper,"1,89 m",right,€14.00m,Serie A
166237,Leandro Paredes,1994,Defensive Midfield,"1,80 m",right,€5.00m,Serie A
277179,Angeliño,1997,Left-Back,"1,71 m",left,€8.00m,Serie A
258027,Renato Sanches,1997,Central Midfield,"1,76 m",right,€5.00m,Serie A
94529,Stephan El Shaarawy,1992,Left Winger,"1,78 m",right,€5.00m,Serie A
723614,Francesco D'Alessio,2004,Central Midfield,"1,82 m",right,€150k,Serie A
431811,Ola Solbakken,1998,Right Winger,"1,89 m",left,€2.50m,Serie A
581604,Pietro Boer,2002,Goalkeeper,"1,93 m",right,€200k,Serie A
286297,Lorenzo Pellegrini,1996,Attacking Midfield,"1,86 m",right,€14.00m,Serie A
118689,Leonardo Spinazzola,1993,Left-Back,"1,86 m",right,€2.50m,Serie A
562049,Edoardo Bove,2002,Central Midfield,"1,81 m",right,€14.00m,Serie A
813137,Niccolò Pisilli,2004,Central Midfield,"1,80 m",right,€12.00m,Serie A
890290,Dean Huijsen,2005,Centre-Back,"1,97 m",both,€18.00m,Serie A
488297,Martin Vetkal,2004,Defensive Midfield,"1,81 m",right,€150k,Serie A
251075,Zeki Çelik,1997,Right-Back,"1,80 m",right,€5.00m,Serie A
371149,Evan Ndicka,1999,Centre-Back,"1,92 m",left,€25.00m,Serie A
395693,Houssem Aouar,1998,Attacking Midfield,"1,75 m",right,€9.00m,Serie A
206050,Paulo Dybala,1993,Second Striker,"1,77 m",left,€8.00m,Serie A
180337,Sardar Azmoun,1995,Centre-Forward,"1,86 m",both,€7.50m,Serie A
709970,Jan Oliveras,2004,Left-Back,,left,€100k,Serie A
256448,Gianluca Mancini,1996,Centre-Back,"1,90 m",right,€18.00m,Serie A
199248,Bryan Cristante,1995,Defensive Midfield,"1,86 m",right,€12.00m,Serie A
369684,Rasmus Kristensen,1997,Right-Back,"1,87 m",right,€10.00m,Serie A
1041614,Renato Marin,2006,Goalkeeper,"1,93 m",right,€500k,Serie A
96341,Romelu Lukaku,1993,Centre-Forward,"1,91 m",left,€25.00m,Serie A
830243,Filippo Alessio,2004,Centre-Forward,,right,€300k,Serie A
641537,Tommaso Baldanzi,2003,Attacking Midfield,"1,70 m",left,€14.00m,Serie A
167727,Andrea Belotti,1993,Centre-Forward,"1,81 m",right,€2.00m,Serie A
650989,Simone Scaglia,2004,Goalkeeper,"1,96 m",right,€25k,Serie A
564792,Giovanni Garofani,2002,Goalkeeper,"1,88 m",right,€100k,Serie A
542336,Nikola Sekulov,2002,Attacking Midfield,"1,85 m",right,€800k,Serie A
110923,Mattia Perin,1992,Goalkeeper,"1,88 m",right,€3.00m,Serie A
672830,Leonardo Cerri,2003,Centre-Forward,"1,98 m",both,€1.00m,Serie A
79960,Alex Sandro,1991,Left-Back,"1,80 m",left,€1.80m,Serie A
571607,Fabio Miretti,2003,Central Midfield,"1,80 m",right,€12.00m,Serie A
679423,Tarik Muharemovic,2003,Centre-Back,"1,87 m",left,€3.50m,Serie A
